"","BAND","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",0,"1347","57401",NA,"SPEI",NA,NA,NA,"AHY","F",950,27,56.9,1996-06-08,260,"J77","NE","27",NA,"TLM001",NA,NA,NA,TRUE,NA,FALSE,NA
"2",NA,"1347","57402",FALSE,"SPEI",NA,NA,NA,"AHY","F",1175,28,57.4,1996-06-09,263,"J97","RV","I-21",NA,"TLM003",NA,NA,NA,TRUE,FALSE,FALSE,NA
"3",NA,"1347","57403",NA,"SPEI",NA,NA,NA,"AHY","F",1150,27.9,58,1996-06-09,251,"J81","NV","31",NA,"TLM007",NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"4",NA,"1347","57404",NA,"SPEI",NA,NA,NA,"AHY","F",1050,26.6,59.3,1996-06-11,251.3,"J82","NA","23",NA,"EFS008",NA,NA,NA,TRUE,NA,NA,NA
"5",NA,"1347","57405",NA,"SPEI",NA,NA,NA,"AHY","F",1125,26,59.2,1996-06-11,248.3,"J70","LT","27",NA,"EFS038",NA,NA,NA,TRUE,FALSE,TRUE,FALSE
"6",NA,"1347","57406",NA,"SPEI",NA,NA,NA,"AHY","F",1300,27.2,59.7,1996-06-12,254.8,"J79","LY","32",NA,"EFS072",NA,NA,NA,TRUE,FALSE,TRUE,FALSE
"7",NA,"1347","57407",NA,"SPEI",NA,NA,NA,"AHY","F",1300,25.2,61,1996-06-12,260,"J66","RC","32",NA,"TLM058",NA,NA,NA,TRUE,NA,NA,NA
"8",NA,"1347","57408",NA,"SPEI",NA,NA,NA,"AHY","F",1175,29.2,60.3,1996-06-12,250.6,"J90","LK","30",NA,"TLM104",NA,NA,NA,TRUE,NA,TRUE,NA
"9",NA,"1347","57409",NA,"SPEI",NA,NA,NA,"AHY","F",1050,29.8,56.5,1996-06-13,251.1,"J91","XZ","20",NA,"EFS024",NA,NA,NA,TRUE,NA,TRUE,NA
"10",NA,"1347","57410",NA,"SPEI",NA,NA,NA,"AHY","F",1150,27,56.4,1996-06-16,248.1,"J87","LI","I-31",NA,"EFS040",NA,NA,NA,TRUE,NA,TRUE,NA
"11",NA,"1347","57411",NA,"SPEI",NA,NA,NA,"AHY","F",1225,27.8,55.8,1996-06-14,252.3,"H02","PI","14",NA,"EFS010",NA,NA,NA,TRUE,FALSE,TRUE,NA
"12",NA,"1347","57412",NA,"SPEI",NA,NA,NA,"AHY","F",1200,25.8,58.9,1996-06-15,248.3,"J88","LZ","7",NA,"EFS053",NA,NA,NA,TRUE,NA,TRUE,NA
"13",NA,"1347","57413",NA,"SPEI",NA,NA,NA,"AHY","F",1025,24.9,54.9,1996-06-17,237.6,"J93","LN","I-18",NA,"TLM103",NA,NA,NA,TRUE,NA,TRUE,NA
"14",NA,"1347","57414",NA,"SPEI",NA,NA,NA,"AHY","F",1225,26,59.4,1996-06-15,244.8,"H00","RL","5",NA,"EFS032",NA,NA,NA,TRUE,NA,TRUE,NA
"15",NA,"1347","57415",NA,"SPEI",NA,NA,NA,"AHY","F",1150,27.9,50.8,1996-06-15,246.1,"H21","RE","19",NA,"EFS027",NA,NA,NA,FALSE,FALSE,FALSE,NA
"16",NA,"1347","57416",NA,"SPEI",NA,NA,NA,"AHY","F",1050,24,63.6,1996-06-15,NA,"H24","RI","I-32",NA,"TLM110",NA,NA,NA,FALSE,FALSE,FALSE,NA
