"","BAND","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"17",NA,"1347","57417",NA,"SPEI",NA,NA,NA,"AHY","F",1150,27.3,56,1996-06-18,247.7,"H11","427","12",NA,"TLM049",NA,NA,NA,TRUE,FALSE,TRUE,NA
"18",NA,"1347","57418",NA,"SPEI",NA,NA,NA,"AHY","F",1100,25.2,58.8,1996-06-17,248.3,"J89","ZP","20",NA,"EFS023",NA,NA,NA,TRUE,FALSE,TRUE,NA
"19",NA,"1347","57419",NA,"SPEI",NA,NA,NA,"AHY","F",1200,28.1,55.6,1996-06-15,248,"J38","PZ","24",NA,"TLM017",NA,NA,NA,TRUE,NA,TRUE,NA
"20",NA,"1347","57420",NA,"SPEI",NA,NA,NA,"AHY","F",1225,24.5,55.9,1996-06-15,247.5,"H01","RA","8",NA,"EFS035",NA,NA,NA,TRUE,NA,TRUE,NA
"21",NA,"1347","57421",NA,"SPEI",NA,NA,NA,"AHY","F",1225,25.2,54.3,1996-06-16,248.8,"H20","PP","33",NA,"JMP001",NA,NA,NA,TRUE,NA,TRUE,NA
"22",NA,"1347","57422",NA,"SPEI",NA,NA,NA,"AHY","F",1200,25.3,58.2,1996-06-17,248.3,"H26","RR","19",NA,"EFS028",NA,NA,NA,TRUE,FALSE,TRUE,NA
"23",NA,"1347","57423",NA,"SPEI",NA,NA,NA,"AHY","F",1150,25,57.3,1996-06-16,245.4,"H23","IN","10",NA,"TLM086",NA,NA,NA,TRUE,FALSE,TRUE,NA
"24",NA,"1347","57424",NA,"SPEI",NA,NA,NA,"AHY","F",1175,24.6,58.2,1996-06-20,247.6,"H07","PX","32",NA,"TLM060",NA,NA,NA,TRUE,FALSE,TRUE,NA
"25",NA,"1347","57425",NA,"SPEI",NA,NA,NA,"AHY","F",1150,25.6,55.9,1996-06-19,247.7,"H47","434","32",NA,"EFS046",NA,NA,NA,TRUE,FALSE,TRUE,NA
"26",NA,"1347","57426",NA,"SPEI",NA,NA,NA,"AHY","F",1100,27.9,58.8,1996-06-17,249.1,"H19","NP","19",NA,"TLM095",NA,NA,NA,TRUE,FALSE,TRUE,NA
"27",NA,"1347","57427",NA,"SPEI",NA,NA,NA,"AHY","F",1100,26.3,55.5,1996-06-20,250.8,"H12","LJ","14",NA,"EFS058",NA,NA,NA,TRUE,FALSE,TRUE,NA
"28",NA,"1347","57428",NA,"SPEI",NA,NA,NA,"AHY","F",1175,28,56.3,1996-06-17,251.9,"H17","NY","17",NA,"TLM084",NA,NA,NA,TRUE,FALSE,TRUE,NA
"29",NA,"1347","57429",NA,"SPEI",NA,NA,NA,"AHY","F",1100,25.6,53.4,1996-06-21,NA,"H41","NX","6",NA,"TLM096",NA,NA,NA,TRUE,NA,TRUE,NA
"30",NA,"1347","57430",NA,"SPEI",NA,NA,NA,"AHY","F",1150,26.3,57,1996-06-22,268.9,"H42","NN","29",NA,"EFS063",NA,NA,NA,TRUE,FALSE,TRUE,NA
"31",NA,"1347","57431",FALSE,"SPEI",NA,NA,NA,"AHY","F",1100,26.2,58,1996-06-23,257.7,"H43","ZF","27",NA,"TLM114",NA,NA,NA,TRUE,FALSE,TRUE,NA
"32",NA,"1347","57432",NA,"SPEI",NA,NA,NA,"AHY","F",1100,30,58.6,1996-06-26,247.7,"H37","457","6",NA,"TLM099",NA,NA,NA,TRUE,FALSE,FALSE,NA
"33",NA,"1347","57433",NA,"SPEI",NA,NA,NA,"AHY","F",1100,25.3,57.2,1996-06-19,247.6,"H40","NR","I-4",NA,"EFS051",NA,NA,NA,TRUE,NA,TRUE,NA
"34",NA,"1347","57434",NA,"SPEI",NA,NA,NA,"AHY","F",1225,26.9,57.1,1996-06-28,250.6,"H38","NF","I-18",NA,"TLM105",NA,NA,NA,TRUE,NA,NA,NA
"35",NA,"1037","52951",TRUE,"SPEI",NA,NA,NA,"ATY","F",1150,NA,NA,1996-06-13,NA,NA,"E8","18",NA,"EFS020",NA,NA,NA,TRUE,NA,TRUE,NA
"36",NA,"1037","52953",TRUE,"SPEI",NA,NA,NA,"ATY","F",1225,NA,NA,1996-06-12,NA,"J86","4J","30",NA,"EFS074",NA,NA,NA,TRUE,NA,TRUE,NA
"37",NA,"1037","52962",TRUE,"SPEI",NA,NA,NA,"ATY","F",1150,NA,NA,1996-06-21,NA,"H46","ZK","5",NA,"TLM089",NA,NA,NA,NA,NA,NA,NA
"38",NA,"1037","52972",TRUE,"SPEI",NA,NA,NA,"ATY","F",1150,NA,NA,1996-06-14,NA,"J98","K5","I-4",NA,"EFS052",NA,NA,NA,TRUE,FALSE,TRUE,NA
"39",NA,"1037","52990",TRUE,"SPEI",NA,NA,NA,"ATY","F",1275,NA,NA,1996-06-13,NA,"J84","IE","19",NA,"TLM109",NA,NA,NA,TRUE,FALSE,TRUE,NA
"40",0,"1347","46066",TRUE,"SPEI",NA,NA,NA,"ATY","F",1050,NA,NA,1996-06-17,NA,"H13","444","22",NA,"TLM040",NA,NA,NA,TRUE,FALSE,TRUE,NA
"41",NA,"1347","46081",TRUE,"SPEI",NA,NA,NA,"ATY","F",1225,NA,NA,1996-06-17,NA,"J00","6K","24",NA,"TLM072",NA,NA,NA,TRUE,FALSE,TRUE,NA
"42",NA,"1347","46082",TRUE,"SPEI",NA,NA,NA,"ATY","F",1100,NA,NA,1996-06-19,NA,"H18","E6","6",NA,"TLM098",NA,NA,NA,TRUE,FALSE,TRUE,NA
"43",NA,"1347","46083",TRUE,"SPEI",NA,NA,NA,"ATY","F",1250,NA,NA,1996-06-18,NA,"J80","E0","30",NA,"EFS004",NA,NA,NA,TRUE,FALSE,TRUE,NA
"44",NA,"1347","46091",TRUE,"SPEI",NA,NA,NA,"ATY","F",1060,NA,NA,1996-06-14,NA,"H03","CO","13",NA,"TLM070",NA,NA,NA,TRUE,FALSE,TRUE,NA
"45",NA,"1347","46093",TRUE,"SPEI",NA,NA,NA,"ATY","F",1275,NA,NA,1996-06-19,NA,"H09","J0","24",NA,"TLM075",NA,NA,NA,TRUE,FALSE,TRUE,NA
"46",0,"1347","46095",TRUE,"SPEI",NA,NA,NA,"ATY","F",1175,NA,NA,1995-06-19,NA,"J69","J4","26",NA,"TLM074",NA,NA,NA,TRUE,FALSE,TRUE,NA
"47",NA,"1347","46100",TRUE,"SPEI",NA,NA,NA,"ATY","F",1150,NA,NA,1996-06-14,NA,"H22","K4","15",NA,"TLM019",NA,NA,NA,TRUE,FALSE,TRUE,NA
"48",NA,"1347","57919",TRUE,"SPEI",NA,NA,NA,"ASY","F",1125,NA,NA,1996-06-16,NA,"H29","YX","34",NA,"TLM050",NA,NA,NA,TRUE,FALSE,TRUE,NA
"49",NA,"1347","57925",TRUE,"SPEI",NA,NA,NA,"ASY","F",1175,NA,NA,1996-06-12,NA,"J92","YJ","I-31",NA,"EFS073",NA,NA,NA,TRUE,FALSE,TRUE,NA
"50",NA,"1347","57930",TRUE,"SPEI",NA,NA,NA,"ASY","F",1100,NA,NA,1996-06-18,NA,"H27","YT","6",NA,"TLM048",NA,NA,NA,TRUE,NA,TRUE,NA
"51",NA,"1347","57934",TRUE,"SPEI",NA,NA,NA,"ASY","F",1300,NA,NA,1996-06-20,NA,"H49","YF","17",NA,"TLM094",NA,NA,NA,TRUE,NA,TRUE,NA
"52",NA,"1347","57938",TRUE,"SPEI",NA,NA,NA,"ASY","F",1275,NA,NA,1996-06-08,NA,"J99","YH","29",NA,"EFS018",NA,NA,NA,TRUE,NA,TRUE,NA
"53",NA,"1347","57941",TRUE,"SPEI",NA,NA,NA,"ASY","F",1100,NA,NA,1996-06-21,NA,"H16","6J","10",NA,"TLM088",NA,NA,NA,TRUE,NA,TRUE,NA
"54",NA,"1347","46097",TRUE,"SPEI",NA,NA,NA,"ASY","F",1250,NA,NA,1996-06-19,NA,"H14","K1","4",NA,"TLM108",NA,NA,NA,FALSE,FALSE,NA,NA
"55",NA,"1347","57951",TRUE,"SPEI",NA,NA,NA,"ASY","F",1175,NA,NA,1996-06-12,NA,"J42","PF","I-32",NA,"TLM057",NA,NA,NA,TRUE,NA,TRUE,NA
"56",0,"1347","57962",TRUE,"SPEI",NA,NA,NA,"ASY","F",1125,NA,NA,1996-06-19,NA,"J29","PR","I-10",NA,"TLM087",NA,NA,NA,TRUE,FALSE,TRUE,NA
"57",NA,"1347","57965",TRUE,"SPEI",NA,NA,NA,"ASY","F",1075,NA,NA,1996-06-20,NA,"H08","RS","I-16",NA,"TLM080",NA,NA,NA,TRUE,FALSE,TRUE,NA
"58",NA,"1347","57975",TRUE,"SPEI",NA,NA,NA,"ASY","F",1050,NA,NA,1996-06-18,NA,"H10","NH","12",NA,"TLM085",NA,NA,NA,NA,NA,NA,NA
"59",NA,"1347","57978",TRUE,"SPEI",NA,NA,NA,"ASY","F",1075,NA,NA,1996-06-13,NA,"J68","LV","20",NA,"EFS022",NA,NA,NA,TRUE,FALSE,TRUE,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
