"","BANDNU","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",NA,"1347","57435",FALSE,"SPEI","1508",NA,NA,"AHY","F",1350,266,588,1997-06-05,268,"H94","LP","24",NA,"TLM064",0,0,"HOOPED",TRUE,FALSE,TRUE,FALSE
"2",NA,"1347","57439",FALSE,"SPEI","1508",NA,NA,"AHY","F",1325,277,582,1997-06-06,270,"H33","400","32",NA,"TLM056",0,0,NA,TRUE,FALSE,TRUE,FALSE
"3",NA,"1347","57914",TRUE,"SPEI","1508",NA,NA,"ASY","F",1025,309,600,1997-06-06,252,"H60","7E","32",NA,"GJH016",0,0,"REPLACED NASAL MARKER",TRUE,FALSE,TRUE,FALSE
"4",NA,"1347","46077",TRUE,"SPEI","1508",NA,NA,"ASY","F",1275,275,583,1997-06-07,262,"H96","A4","5",NA,"GJH029",0,0,NA,TRUE,FALSE,TRUE,FALSE
"5",NA,"1037","52952",TRUE,"SPEI","1508",NA,NA,"ASY","F",1225,253,549,1997-06-08,0,"H66","ZJ","0",NA,"GJH031",0,0,"ROD STILL IN NARES ONLY WASHERS LEFT ON",TRUE,FALSE,TRUE,FALSE
"6",NA,"1347","57436",FALSE,"SPEI","1508",NA,NA,"AHY","F",1200,270,600,1997-06-08,270,"H61","RP","7",NA,"TLM073",0,0,NA,TRUE,FALSE,TRUE,FALSE
"7",NA,"1347","57922",TRUE,"SPEI","1508",NA,NA,"ASY","F",0,259,584,1997-06-08,256,"H62","AA","28",NA,"TLM035",0,0,NA,TRUE,FALSE,TRUE,FALSE
"8",NA,"1347","57443",FALSE,"SPEI","1508",NA,NA,"AHY","F",0,278,566,1997-06-08,260,"H98","399","22",NA,"TLM016",0,0,NA,TRUE,FALSE,TRUE,FALSE
"9",NA,"1347","57940",TRUE,"SPEI","1508",NA,NA,"AHY","F",0,241,565,1997-06-08,255,"H64","3E","18",NA,"EFS034",0,0,NA,TRUE,FALSE,TRUE,FALSE
"10",NA,"1347","57442",FALSE,"SPEI","1508",NA,NA,"AHY","F",1125,261,574,1997-06-08,270,"H99","406","45",NA,"EFS022",0,0,NA,TRUE,TRUE,TRUE,FALSE
