"","BANDNU","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",NA,"1347","57978",TRUE,"SPEI",NA,NA,NA,"ASY","F",1200,0,0,1998-06-18,0,"X64","LV",NA,NA,"KLW042",503195,6744973,NA,FALSE,FALSE,FALSE,FALSE
"2",NA,"1347","57451",FALSE,"SPEI",NA,NA,NA,"AHY","F",1225,246,566,1998-06-18,290,"X82","452",NA,NA,"TLM078",502463,6745597,NA,FALSE,FALSE,FALSE,FALSE
"3",NA,"1347","57452",FALSE,"SPEI",NA,NA,NA,"AHY","F",1100,24,576,1998-06-20,270,"H92","517",NA,NA,"TLM100",500785,6745633,NA,TRUE,FALSE,TRUE,FALSE
"4",NA,"1347","57453",FALSE,"SPEI",NA,NA,NA,"AHY","F",1050,284,557,1998-06-21,270,"H86","517",NA,NA,"TLM029",499806,6744276,NA,TRUE,FALSE,TRUE,FALSE
"5",NA,"1347","57454",FALSE,"SPEI",NA,NA,NA,"AHY","F",1125,271,572,1998-06-21,270,"X93","542",NA,NA,"TLM033",499848,6744416,NA,FALSE,FALSE,FALSE,FALSE
"6",NA,"1347","57455",FALSE,"SPEI",NA,NA,NA,"AHY","F",1150,263,582,1998-06-22,265,"X17","590",NA,NA,"KLW037",500609,6743708,NA,TRUE,FALSE,TRUE,FALSE
"7",NA,"1347","76919",TRUE,"SPEI",NA,NA,NA,"ASY","F",1225,0,0,1998-06-23,0,"X61","469",NA,NA,"GJH001",502565,6744969,NA,TRUE,FALSE,TRUE,FALSE
"8",NA,"1347","46090",TRUE,"SPEI",NA,NA,NA,"ASY","F",1050,0,0,1998-06-24,0,"x33","C6",NA,NA,"KLW035",0,0,NA,TRUE,FALSE,TRUE,FALSE
"9",NA,"1347","57456",FALSE,"SPEI",NA,NA,NA,"AHY","F",1190,274,572,1998-06-24,275,"X40","510",NA,NA,"KLW013",0,0,NA,FALSE,FALSE,FALSE,FALSE
"10",NA,"1347","57447",TRUE,"SPEI",NA,NA,NA,"ASY","F",1025,0,0,1998-06-24,0,"H84","464",NA,NA,"BAND",0,0,NA,TRUE,FALSE,TRUE,FALSE
"11",NA,"1347","46097",TRUE,"SPEI",NA,NA,NA,"ASY","F",1225,0,0,1998-06-24,0,"X72","KI",NA,NA,"TLM059",500788,6746258,NA,TRUE,FALSE,TRUE,FALSE
"12",NA,"1347","57457",FALSE,"SPEI",NA,NA,NA,"AHY","F",0,256,597,1998-06-24,290,"X49","570",NA,NA,"KLW017",0,0,"BIRD ESCAPED",FALSE,TRUE,FALSE,FALSE
"13",NA,"1347","57462",FALSE,"SPEI",NA,NA,NA,"AHY","F",1075,25,565,1998-06-25,260,"X23","595",NA,NA,"TLM126",500061,6745106,NA,TRUE,FALSE,TRUE,FALSE
"14",NA,"1347","57955",TRUE,"SPEI",NA,NA,NA,"ASY","F",1210,262,565,1998-06-25,280,"X16","HZ",NA,NA,"GJH007",0,0,NA,TRUE,TRUE,TRUE,FALSE
"15",NA,"1347","57458",FALSE,"SPEI",NA,NA,NA,"AHY","F",1095,253,534,1998-06-25,265,"X27","413",NA,NA,"TLM135",502788,6745067,NA,FALSE,FALSE,FALSE,FALSE
"16",NA,"1347","57974",TRUE,"SPEI",NA,NA,NA,"ASY","F",1050,0,0,1998-06-25,0,"X99","PV",NA,NA,"TLM043",502677,6744953,NA,TRUE,FALSE,TRUE,FALSE
"17",NA,"1347","57461",FALSE,"SPEI",NA,NA,NA,"AHY","F",980,247,559,1998-06-26,260,"X08","581",NA,NA,"KLW032",501029,6745884,NA,TRUE,FALSE,TRUE,FALSE
"18",NA,"1347","57941",TRUE,"SPEI",NA,NA,NA,"ASY","F",1025,279,573,1998-06-26,245,"H16","6J",NA,NA,"TLM103",500578,6745793,NA,TRUE,FALSE,TRUE,FALSE
"19",NA,"1347","76946",TRUE,"SPEI",NA,NA,NA,"ASY","F",1012,249,569,1998-06-26,255,"H69","396",NA,NA,"KLW033",500966,6746036,NA,TRUE,TRUE,TRUE,FALSE
"20",NA,"1347","57947",TRUE,"SPEI",NA,NA,NA,"ASY","F",1037,261,592,1998-06-26,260,"X51","8J",NA,NA,"TLM096",500601,6745949,NA,TRUE,FALSE,TRUE,FALSE
"21",NA,"1347","57463",FALSE,"SPEI",NA,NA,NA,"AHY","F",1000,271,585,1998-06-26,265,"X79","567",NA,NA,"TLM102",500618,6745776,NA,TRUE,FALSE,TRUE,FALSE
"22",NA,"1347","57412",TRUE,"SPEI",NA,NA,NA,"ASY","F",1125,262,586,1998-06-26,265,"X76","Z7",NA,NA,"TLM098",500776,6745924,NA,TRUE,FALSE,TRUE,FALSE
