"","BAND","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",NA,"1347","46073",TRUE,"SPEI","1580",NA,NA,"ATY","F",1200,0,0,1995-06-17,0,"J34","2K",NA,NA,"MRB066",501500,6744000,"new nasal, see MRB notes",TRUE,FALSE,TRUE,FALSE
"2",NA,"1037","52951",TRUE,"SPEI","1580",NA,NA,"ATY","F",1200,0,0,1995-06-13,0,"J09","E8",NA,NA,"TLM029",502000,6745000,"old marks, see TLM notes",FALSE,FALSE,FALSE,FALSE
"3",NA,"1347","57946",FALSE,"SPEI","1580",NA,NA,"AHY","F",1125,244,550,1995-06-13,254,"J11","OC",NA,NA,"TLM078",503500,6744500,"see TLM notes",FALSE,FALSE,FALSE,FALSE
"4",NA,"1347","57909",TRUE,"SPEI","1580",NA,NA,"ATY","F",1200,0,0,1995-06-14,0,"J10","7C",NA,NA,"MRB004",500500,6743500,"old marks, see TLM notes",FALSE,FALSE,FALSE,FALSE
"5",NA,"1347","57947",FALSE,"SPEI","1580",NA,NA,"AHY","F",1225,279,553,1995-06-14,254,"J06","8J",NA,NA,"TLM058",500500,6746000,"see TLM notes",FALSE,FALSE,FALSE,FALSE
"6",NA,"1347","57948",FALSE,"SPEI","1580",NA,NA,"AHY","F",1150,256,576,1995-06-15,256,"J08","9J",NA,NA,"MRB007",502000,6746500,"see TLM/MRB notes",FALSE,FALSE,FALSE,FALSE
"7",NA,"1037","52982",TRUE,"SPEI","1580",NA,NA,"ATY","F",1025,273,529,1995-06-15,241,"J07","8A",NA,NA,"TLM017",5e+05,6745500,"banded as duckling, see TLM notes",FALSE,FALSE,FALSE,FALSE
"8",NA,"1347","46074",TRUE,"SPEI","1580",NA,NA,"ATY","F",1275,0,0,1995-06-16,0,"E71","E7",NA,NA,"TLM026",503500,6745000,"all old markers left on",FALSE,FALSE,FALSE,FALSE
"9",NA,"1347","46096",TRUE,"SPEI","1580",NA,NA,"ATY","F",1150,267,530,1995-06-16,251,"J14","ZY",NA,NA,"TLM048",503000,6744500,"FWS band on when captured",FALSE,FALSE,FALSE,FALSE
"10",NA,"1347","57956",FALSE,"SPEI","1580",NA,NA,"AHY","F",1175,293,558,1995-06-16,257,"J18","ZZ",NA,NA,"TLM051",502000,6744500,NA,FALSE,FALSE,FALSE,FALSE
"11",NA,"1347","46094",TRUE,"SPEI","1580",NA,NA,"ATY","F",1175,0,0,1995-06-16,0,"J23","C3",NA,NA,"MRB033",502000,6744000,"see TLM notes",FALSE,FALSE,FALSE,FALSE
"12",NA,"1347","57950",FALSE,"SPEI","1580",NA,NA,"AHY","F",1200,274,583,1995-06-16,260,"J24","2E",NA,NA,"MRB036",501000,6746000,"see TLM notes",TRUE,FALSE,TRUE,FALSE
"13",NA,"1347","46090",TRUE,"SPEI","1580",NA,NA,"ATY","F",950,0,0,1995-06-16,0,"J01","C6",NA,NA,"TLM060",501000,6745500,"TLM notes",TRUE,FALSE,TRUE,FALSE
"14",NA,"1347","57949",FALSE,"SPEI","1580",NA,NA,"AHY","F",1200,247,545,1995-06-15,243,"J12","6A",NA,NA,"MRB016",503000,6745000,"TLM notes",FALSE,FALSE,FALSE,FALSE
"15",NA,"1347","46084",TRUE,"SPEI","1580",NA,NA,"ATY","F",1075,0,0,1995-06-17,0,"J36","C5",NA,NA,"MRB011",501500,6744000,"MRB notes, new nasal",TRUE,FALSE,TRUE,FALSE
"16",NA,"1347","57960",FALSE,"SPEI","1580",NA,NA,"AHY","F",1050,540,250,1995-06-17,239,"J30","2Z",NA,NA,"MRB012",501000,6744500,"MRB notes",FALSE,FALSE,TRUE,FALSE
"17",NA,"1347","46068",TRUE,"SPEI","1580",NA,NA,"ATY","F",1150,0,0,1995-06-17,0,"E58","E2",NA,NA,"MRB030",501500,6744000,"all old markers, MRB notes",TRUE,FALSE,TRUE,FALSE
"18",NA,"1347","46069",TRUE,"SPEI","1580",NA,NA,"ATY","F",1025,0,0,1995-06-17,0,"E86","YI",NA,NA,"TLM043",502500,6744000,"all old markers, MRB notes",TRUE,FALSE,TRUE,FALSE
