"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"61","TLM011","COEI",1994-05-25,"TLM",2,78.5,49.4,NA,0,0,0,NA,"1994"
"62","TLM011","COEI",1994-05-25,"TLM",3,76.6,51.4,NA,0,0,0,NA,"1994"
"63","TLM011","COEI",1994-05-25,"TLM",4,77.4,50.1,NA,0,0,0,NA,"1994"
"64","TLM011","COEI",1994-05-25,"TLM",5,77.9,50.4,NA,0,0,0,NA,"1994"
"65","TLM013","COEI",1994-05-25,"TLM",1,76.2,49.6,NA,0,0,0,NA,"1994"
"66","TLM013","COEI",1994-05-25,"TLM",2,76.9,48.8,NA,0,0,0,NA,"1994"
"67","TLM013","COEI",1994-05-25,"TLM",3,75.1,49.3,NA,0,0,0,NA,"1994"
"68","TLM013","COEI",1994-05-25,"TLM",4,75.1,49.4,NA,0,0,0,NA,"1994"
"69","ADS002","SPEI",1994-05-25,"ADS",1,67.5,46.1,NA,0,0,0,NA,"1994"
"70","ADS002","SPEI",1994-05-25,"ADS",2,68,46,NA,0,0,0,NA,"1994"
"71","ADS002","SPEI",1994-05-25,"ADS",3,68,47.5,NA,0,0,0,NA,"1994"
"72","ADS002","SPEI",1994-05-25,"ADS",4,67.5,46.1,NA,0,0,0,NA,"1994"
"73","ADS002","SPEI",1994-05-25,"ADS",5,68,46.1,NA,0,0,0,NA,"1994"
"74","TLM016","SPEI",1994-05-26,"TLM",1,67.2,45.9,NA,0,0,0,NA,"1994"
"75","TLM016","SPEI",1994-05-26,"TLM",2,67.2,46.7,NA,0,0,0,NA,"1994"
"76","TLM016","SPEI",1994-05-26,"TLM",3,67,46.9,NA,0,0,0,NA,"1994"
"77","TLM016","SPEI",1994-05-26,"TLM",4,65.6,47.2,NA,0,0,0,NA,"1994"
"78","TLM016","SPEI",1994-05-26,"TLM",5,66.2,46.4,NA,0,0,0,NA,"1994"
"79","TLM016","SPEI",1994-05-26,"TLM",6,66.3,46.8,NA,0,0,0,NA,"1994"
"80","TLM017","SPEI",1994-05-26,"TLM",1,68.1,43.4,NA,0,0,0,NA,"1994"
"81","TLM017","SPEI",1994-05-26,"TLM",2,65.5,44.4,NA,0,0,0,NA,"1994"
"82","TLM017","SPEI",1994-05-26,"TLM",3,68.5,45,NA,0,0,0,NA,"1994"
"83","TLM017","SPEI",1994-05-26,"TLM",4,69.5,44.1,NA,0,0,0,NA,"1994"
