"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"3716","MMB030","SPEI",1997-06-05,"MMB",4,70.1,45.4,NA,NA,NA,NA,NA,"1997"
"3717","MMB030","SPEI",1997-06-05,"MMB",5,69,46.1,NA,NA,NA,NA,NA,"1997"
"3718","MMB030","SPEI",1997-06-05,"MMB",6,65.7,45.3,NA,NA,NA,NA,NA,"1997"
"3719","GJH055","COEI",1997-06-05,"GJH",1,73.8,50.1,NA,NA,NA,NA,NA,"1997"
"3720","GJH055","COEI",1997-06-05,"GJH",2,77,50.6,NA,NA,NA,NA,NA,"1997"
"3721","GJH055","COEI",1997-06-05,"GJH",3,79,50.7,NA,NA,NA,NA,NA,"1997"
"3722","GJH055","COEI",1997-06-05,"GJH",4,77.5,50.8,NA,NA,NA,NA,NA,"1997"
"3723","GJH055","COEI",1997-06-05,"GJH",5,70.6,51,NA,NA,NA,NA,NA,"1997"
"3724","GJH056","COEI",1997-06-05,"GJH",1,78.1,49.4,NA,NA,NA,NA,NA,"1997"
"3725","GJH056","COEI",1997-06-05,"GJH",2,76.5,48.5,NA,NA,NA,NA,NA,"1997"
"3726","GJH056","COEI",1997-06-05,"GJH",3,78.4,49.6,NA,NA,NA,NA,NA,"1997"
"3727","GJH056","COEI",1997-06-05,"GJH",4,77.4,49.8,NA,NA,NA,NA,NA,"1997"
"3728","GJH056","COEI",1997-06-05,"GJH",5,79.6,49.6,NA,NA,NA,NA,NA,"1997"
"3729","GJH057","SPEI",1997-06-05,"GJH",1,73.7,44.1,NA,NA,NA,NA,NA,"1997"
"3730","GJH057","SPEI",1997-06-05,"GJH",2,69.5,43.9,NA,NA,NA,NA,NA,"1997"
"3731","GJH057","SPEI",1997-06-05,"GJH",3,72,44.5,NA,NA,NA,NA,NA,"1997"
"3732","TLM091","SPEI",1997-06-05,"TLM",1,66.9,44.7,NA,NA,NA,NA,NA,"1997"
"3733","TLM091","SPEI",1997-06-05,"TLM",2,71.8,44.1,NA,NA,NA,NA,NA,"1997"
"3734","TLM091","SPEI",1997-06-05,"TLM",3,70.6,44.9,NA,NA,NA,NA,NA,"1997"
"3735","TLM091","SPEI",1997-06-05,"TLM",4,69.8,44.1,NA,NA,NA,NA,NA,"1997"
"3736","TLM091","SPEI",1997-06-05,"TLM",5,72,44.1,NA,NA,NA,NA,NA,"1997"
"3737","TLM092","COEI",1997-06-05,"TLM",1,73.7,49.5,NA,0,0,0,1997-06-24,"1997"
"3738","TLM092","COEI",1997-06-05,"TLM",2,69.8,48.4,NA,0,0,0,1997-06-24,"1997"
"3739","TLM092","COEI",1997-06-05,"TLM",3,67.3,47.5,NA,0,0,0,1997-06-24,"1997"
"3740","TLM092","COEI",1997-06-05,"TLM",4,71.2,48,NA,0,0,0,1997-06-24,"1997"
"3741","TLM092","COEI",1997-06-05,"TLM",5,69.7,48.6,NA,0,0,0,1997-06-24,"1997"
"3742","EFS037","SPEI",1997-06-05,"TLM",5,65.6,47.5,NA,NA,NA,NA,NA,"1997"
"3743","EFS037","SPEI",1997-06-05,"TLM",6,68.8,47.6,NA,NA,NA,NA,NA,"1997"
"3744","EFS038","SPEI",1997-06-05,"TLM",4,71.5,44.7,NA,NA,NA,NA,NA,"1997"
"3745","GJH058","SPEI",1997-06-06,"GJH",1,68.4,45.4,NA,NA,NA,NA,NA,"1997"
"3746","GJH058","SPEI",1997-06-06,"GJH",2,70.9,45.2,NA,NA,NA,NA,NA,"1997"
"3747","GJH058","SPEI",1997-06-06,"GJH",3,67.8,44.3,NA,NA,NA,NA,NA,"1997"
"3748","GJH058","SPEI",1997-06-06,"GJH",4,69.3,45.5,NA,NA,NA,NA,NA,"1997"
"3749","GJH059","COEI",1997-06-06,"GJH",1,77.7,52.5,NA,NA,NA,NA,NA,"1997"
"3750","GJH059","COEI",1997-06-06,"GJH",2,84.2,51.4,NA,NA,NA,NA,NA,"1997"
"3751","GJH059","COEI",1997-06-06,"GJH",3,80.5,50.8,NA,NA,NA,NA,NA,"1997"
"3752","GJH059","COEI",1997-06-06,"GJH",4,77.7,51.2,NA,NA,NA,NA,NA,"1997"
"3753","GJH060","COEI",1997-06-06,"GJH",1,73.1,51.1,NA,NA,NA,NA,NA,"1997"
"3754","GJH060","COEI",1997-06-06,"GJH",2,75.4,51.4,NA,NA,NA,NA,NA,"1997"
"3755","GJH060","COEI",1997-06-06,"GJH",3,74.3,50.8,NA,NA,NA,NA,NA,"1997"
"3756","GJH060","COEI",1997-06-06,"GJH",4,74.2,52.1,NA,NA,NA,NA,NA,"1997"
"3757","GJH060","COEI",1997-06-06,"GJH",5,71,50.2,NA,NA,NA,NA,NA,"1997"
"3758","GJH060","COEI",1997-06-06,"GJH",6,75.5,50.5,NA,NA,NA,NA,NA,"1997"
"3759","GJH060","COEI",1997-06-06,"GJH",7,80.4,50,NA,NA,NA,NA,NA,"1997"
"3760","GJH060","COEI",1997-06-06,"GJH",8,72,49.3,NA,NA,NA,NA,NA,"1997"
"3761","GJH060","COEI",1997-06-06,"GJH",9,74.3,51.7,NA,NA,NA,NA,NA,"1997"
"3762","MMB033","SPEI",1997-06-06,"MMB",1,70.9,50.5,NA,NA,NA,NA,NA,"1997"
"3763","MMB033","coei",1997-06-06,"MMB",2,68.6,50,NA,NA,NA,NA,NA,"1997"
"3764","MMB033","SPEI",1997-06-06,"MMB",3,70.2,49.2,NA,NA,NA,NA,NA,"1997"
"3765","MMB033","SPEI",1997-06-06,"MMB",4,68.9,48.3,NA,NA,NA,NA,NA,"1997"
"3766","MMB033","SPEI",1997-06-06,"MMB",5,72.5,48.8,NA,NA,NA,NA,NA,"1997"
"3767","MMB034","COEI",1997-06-06,"MMB",1,71.9,49.5,NA,NA,NA,NA,NA,"1997"
"3768","MMB034","COEI",1997-06-06,"MMB",2,79.5,50.9,NA,NA,NA,NA,NA,"1997"
"3769","MMB034","COEI",1997-06-06,"MMB",3,76.2,50.8,NA,NA,NA,NA,NA,"1997"
"3770","MMB034","COEI",1997-06-06,"MMB",4,69,46.9,NA,NA,NA,NA,NA,"1997"
"3771","MMB034","COEI",1997-06-06,"MMB",5,73,50.1,NA,NA,NA,NA,NA,"1997"
"3772","MMB034","COEI",1997-06-06,"MMB",6,70.6,50.1,NA,NA,NA,NA,NA,"1997"
"3773","MMB034","COEI",1997-06-06,"MMB",7,72.4,49.1,NA,NA,NA,NA,NA,"1997"
"3774","MMB037","COEI",1997-06-06,"MMB",1,76.9,47.5,NA,NA,NA,NA,NA,"1997"
"3775","MMB037","COEI",1997-06-06,"MMB",2,73.7,49,NA,NA,NA,NA,NA,"1997"
"3776","MMB037","COEI",1997-06-06,"MMB",3,74,48.9,NA,NA,NA,NA,NA,"1997"
"3777","MMB037","COEI",1997-06-06,"MMB",4,75.6,48.5,NA,NA,NA,NA,NA,"1997"
"3778","MMB035","COEI",1997-06-06,"MMB",1,73.6,51.8,NA,NA,NA,NA,NA,"1997"
"3779","MMB036","COEI",1997-06-06,"MMB",1,76.6,48.8,NA,NA,NA,NA,NA,"1997"
"3780","GJH039","COEI",1997-06-06,"MMB",7,72.5,47.7,NA,NA,NA,NA,NA,"1997"
"3781","EFS041","COEI",1997-06-06,"MMB",6,68.9,47.3,NA,NA,NA,NA,NA,"1997"
"3782","TLM094","SPEI",1997-06-06,"TLM",1,66.6,46.1,NA,NA,NA,NA,NA,"1997"
"3783","TLM094","SPEI",1997-06-06,"TLM",2,69,46.8,NA,NA,NA,NA,NA,"1997"
"3784","TLM094","SPEI",1997-06-06,"TLM",3,66.2,45,NA,NA,NA,NA,NA,"1997"
"3785","TLM094","SPEI",1997-06-06,"TLM",4,69.1,45.6,NA,NA,NA,NA,NA,"1997"
"3786","TLM094","SPEI",1997-06-06,"TLM",5,69,45.7,NA,NA,NA,NA,NA,"1997"
"3787","TLM094","SPEI",1997-06-06,"TLM",6,66.9,45,NA,NA,NA,NA,NA,"1997"
"3788","TLM093","SPEI",1997-06-06,"TLM",1,65.8,44.5,NA,NA,NA,NA,NA,"1997"
"3789","TLM093","SPEI",1997-06-06,"TLM",2,70.5,45.5,NA,NA,NA,NA,NA,"1997"
"3790","TLM093","SPEI",1997-06-06,"TLM",3,69,44.5,NA,NA,NA,NA,NA,"1997"
"3791","TLM093","SPEI",1997-06-06,"TLM",4,70.3,44.8,NA,NA,NA,NA,NA,"1997"
"3792","TLM093","SPEI",1997-06-06,"TLM",5,69.5,43.3,NA,NA,NA,NA,NA,"1997"
"3793","TLM093","SPEI",1997-06-06,"TLM",0,0,0,NA,NA,NA,NA,NA,"1997"
"3794","EFS056","SPEI",1997-06-06,"EFS",1,69.2,45.7,NA,NA,NA,NA,NA,"1997"
"3795","EFS056","SPEI",1997-06-06,"EFS",2,68.4,45.6,NA,NA,NA,NA,NA,"1997"
"3796","EFS056","SPEI",1997-06-06,"EFS",3,68.3,45.2,NA,NA,NA,NA,NA,"1997"
"3797","EFS056","SPEI",1997-06-06,"EFS",4,67.3,43.8,NA,NA,NA,NA,NA,"1997"
"3798","EFS056","SPEI",1997-06-06,"EFS",5,67.9,45.8,NA,NA,NA,NA,NA,"1997"
"3799","EFS057","SPEI",1997-06-06,"EFS",1,65.4,43.7,NA,NA,NA,NA,NA,"1997"
"3800","EFS057","SPEI",1997-06-06,"EFS",2,64.6,45.7,NA,NA,NA,NA,NA,"1997"
"3801","EFS058","SPEI",1997-06-06,"EFS",1,68.3,45.6,NA,NA,NA,NA,NA,"1997"
"3802","GJH061","COEI",1997-06-07,"GJH",1,78.6,51,NA,NA,NA,NA,NA,"1997"
"3803","GJH061","COEI",1997-06-07,"GJH",2,76.2,51.9,NA,NA,NA,NA,NA,"1997"
"3804","GJH061","COEI",1997-06-07,"GJH",3,79.1,51.5,NA,NA,NA,NA,NA,"1997"
"3805","GJH061","COEI",1997-06-07,"GJH",4,81.3,50.4,NA,NA,NA,NA,NA,"1997"
"3806","GJH061","COEI",1997-06-07,"GJH",5,75.3,52.5,NA,NA,NA,NA,NA,"1997"
"3807","GJH061","COEI",1997-06-07,"GJH",6,78.9,51.3,NA,NA,NA,NA,NA,"1997"
"3808","GJH062","SPEI",1997-06-07,"GJH",1,64,44.9,NA,NA,NA,NA,NA,"1997"
"3809","GJH062","SPEI",1997-06-07,"GJH",2,63.5,44.8,NA,NA,NA,NA,NA,"1997"
"3810","GJH062","SPEI",1997-06-07,"GJH",3,63.2,43.3,NA,NA,NA,NA,NA,"1997"
"3811","MMB039","SPEI",1997-06-07,"MMB",1,68.5,43.9,NA,NA,NA,NA,NA,"1997"
"3812","MMB039","SPEI",1997-06-07,"MMB",2,70.7,43.2,NA,NA,NA,NA,NA,"1997"
"3813","MMB039","SPEI",1997-06-07,"MMB",3,69.7,42.6,NA,NA,NA,NA,NA,"1997"
"3814","MMB039","SPEI",1997-06-07,"MMB",4,67.2,42.7,NA,NA,NA,NA,NA,"1997"
"3815","MMB038","COEI",1997-06-07,"MMB",1,75.7,48.8,NA,NA,NA,NA,NA,"1997"
"3816","MMB038","COEI",1997-06-07,"MMB",2,75.1,50.4,NA,NA,NA,NA,NA,"1997"
"3817","MMB038","COEI",1997-06-07,"MMB",3,74.9,49.7,NA,NA,NA,NA,NA,"1997"
"3818","MMB038","COEI",1997-06-07,"MMB",4,76.5,50.6,NA,NA,NA,NA,NA,"1997"
"3819","MMB038","COEI",1997-06-07,"MMB",5,74,48.5,NA,NA,NA,NA,NA,"1997"
"3820","TLM095","SPEI",1997-06-07,"TLM",1,60.7,42.6,NA,NA,NA,NA,NA,"1997"
"3821","TLM095","SPEI",1997-06-07,"TLM",2,66.6,44.8,NA,NA,NA,NA,NA,"1997"
"3822","TLM095","SPEI",1997-06-07,"TLM",3,70.5,44.4,NA,NA,NA,NA,NA,"1997"
"3823","WSK001","SPEI",1997-06-08,"TLM",1,69.8,43.8,NA,NA,NA,NA,NA,"1997"
"3824","WSK001","SPEI",1997-06-08,"TLM",2,69.5,44,NA,NA,NA,NA,NA,"1997"
"3825","WSK001","SPEI",1997-06-08,"TLM",3,64,44,NA,NA,NA,NA,NA,"1997"
"3826","WSK001","SPEI",1997-06-08,"TLM",4,71.2,44.6,NA,NA,NA,NA,NA,"1997"
"3827","TLM075","COEI",1997-06-08,"TLM",5,70.2,48.8,NA,NA,NA,NA,NA,"1997"
"3828","TLM075","COEI",1997-06-08,"TLM",6,68.1,48.8,NA,NA,NA,NA,NA,"1997"
"3829","EFS048","SPEI",1997-06-09,"EFS",5,66.8,44.9,NA,NA,NA,NA,NA,"1997"
"3830","TLM097","COEI",1997-06-09,"TLM",1,76.1,49.4,NA,NA,NA,NA,NA,"1997"
"3831","TLM097","COEI",1997-06-09,"TLM",2,71.4,50.9,NA,NA,NA,NA,NA,"1997"
"3832","TLM097","COEI",1997-06-09,"TLM",3,73.5,51.9,NA,NA,NA,NA,NA,"1997"
"3833","TLM097","COEI",1997-06-09,"TLM",4,70.7,73.3,NA,NA,NA,NA,NA,"1997"
"3834","TLM097","COEI",1997-06-09,"TLM",5,73.3,48.9,NA,NA,NA,NA,NA,"1997"
"3835","TLM096","COEI",1997-06-09,"TLM",1,74.6,49.4,NA,NA,NA,NA,NA,"1997"
"3836","TLM096","COEI",1997-06-09,"TLM",2,70.8,49,NA,NA,NA,NA,NA,"1997"
"3837","TLM096","COEI",1997-06-09,"TLM",3,75.2,48.6,NA,NA,NA,NA,NA,"1997"
"3838","TLM096","COEI",1997-06-09,"TLM",4,75.2,48.7,NA,NA,NA,NA,NA,"1997"
"3839","TLM096","COEI",1997-06-09,"TLM",5,74.2,48.8,NA,NA,NA,NA,NA,"1997"
"3840","EFS053","COEI",1997-06-10,"MMB",6,73.5,49.5,NA,NA,NA,NA,NA,"1997"
"3841","TLM085","SPEI",1997-06-10,"MMB",5,64.8,43.8,NA,NA,NA,NA,NA,"1997"
"3842","MMB040","SPEI",1997-06-11,"EFS",1,66.3,46.5,NA,NA,NA,NA,NA,"1997"
"3843","MMB040","SPEI",1997-06-11,"EFS",2,69.3,45.7,NA,NA,NA,NA,NA,"1997"
"3844","MMB040","SPEI",1997-06-11,"EFS",3,69.4,46,NA,NA,NA,NA,NA,"1997"
"3845","MMB040","SPEI",1997-06-11,"EFS",4,70.1,46.1,NA,NA,NA,NA,NA,"1997"
"3846","MMB040","SPEI",1997-06-11,"EFS",5,70.9,46.2,NA,NA,NA,NA,NA,"1997"
"3847","TLM090","SPEI",1997-06-11,"MMB",3,71,42,NA,NA,NA,NA,NA,"1997"
"3848","TLM090","SPEI",1997-06-11,"MMB",4,70.1,42.2,NA,NA,NA,NA,NA,"1997"
"3849","TLM098","COEI",1997-06-11,"TLM",1,74,50.6,NA,NA,NA,NA,NA,"1997"
"3850","TLM098","COEI",1997-06-11,"TLM",2,74.9,50.8,NA,NA,NA,NA,NA,"1997"
"3851","TLM098","COEI",1997-06-11,"TLM",3,74.8,50.9,NA,NA,NA,NA,NA,"1997"
"3852","TLM098","COEI",1997-06-11,"TLM",4,72.8,51.2,NA,NA,NA,NA,NA,"1997"
"3853","TLM098","COEI",1997-06-11,"TLM",5,75.6,51.1,NA,NA,NA,NA,NA,"1997"
"3854","MMB017","COEI",1997-06-12,"TLM",5,75.5,47.9,NA,NA,NA,NA,NA,"1997"
"3855","TLM099","SPEI",1997-06-12,"TLM",1,73.3,48.8,NA,NA,NA,NA,NA,"1997"
"3856","TLM099","SPEI",1997-06-12,"TLM",2,75.4,49.5,NA,NA,NA,NA,NA,"1997"
"3857","TLM099","SPEI",1997-06-12,"TLM",3,74.7,49.1,NA,NA,NA,NA,NA,"1997"
"3858","EFS055","COEI",1997-06-12,"TLM",3,72.5,50.6,NA,NA,NA,NA,NA,"1997"
"3859","EFS055","COEI",1997-06-12,"TLM",4,74.4,49.8,NA,NA,NA,NA,NA,"1997"
"3860","EFS055","COEI",1997-06-12,"TLM",5,68.7,49.4,NA,NA,NA,NA,NA,"1997"
"3861","GJH057","SPEI",1997-06-12,"TLM",4,68.1,43.5,NA,NA,NA,NA,NA,"1997"
"3862","MMB037","COEI",1997-06-13,"GJH",5,72.8,46.9,NA,NA,NA,NA,NA,"1997"
"3863","EFS060","COEI",1997-06-14,"EFS",1,73.4,48.8,NA,NA,NA,NA,NA,"1997"
"3864","EFS060","COEI",1997-06-14,"EFS",2,75.3,50.8,NA,NA,NA,NA,NA,"1997"
"3865","EFS060","COEI",1997-06-14,"EFS",3,75.1,50,NA,NA,NA,NA,NA,"1997"
"3866","EFS060","COEI",1997-06-14,"EFS",4,74.1,49.4,NA,NA,NA,NA,NA,"1997"
"3867","EFS060","COEI",1997-06-14,"EFS",5,74.6,50.3,NA,NA,NA,NA,NA,"1997"
"3868","EFS060","COEI",1997-06-14,"EFS",6,74.8,51.5,NA,NA,NA,NA,NA,"1997"
"3869","TLM100","SPEI",1997-06-15,"TLM",1,69.6,44.8,NA,NA,NA,NA,NA,"1997"
"3870","TLM100","SPEI",1997-06-15,"TLM",2,65.5,44,NA,NA,NA,NA,NA,"1997"
"3871","TLM100","SPEI",1997-06-15,"TLM",3,68,44.2,NA,NA,NA,NA,NA,"1997"
"3872","TLM100","SPEI",1997-06-15,"TLM",4,67.3,44.2,NA,NA,NA,NA,NA,"1997"
"3873","TLM100","SPEI",1997-06-15,"TLM",5,68.8,45,NA,NA,NA,NA,NA,"1997"
"3874","EFS061","SPEI",1997-06-15,"EFS",1,63.3,45.8,NA,NA,NA,NA,NA,"1997"
"3875","EFS061","SPEI",1997-06-15,"EFS",2,66.1,44.7,NA,NA,NA,NA,NA,"1997"
"3876","EFS061","SPEI",1997-06-15,"EFS",3,64.6,45.5,NA,NA,NA,NA,NA,"1997"
"3877","EFS061","SPEI",1997-06-15,"EFS",4,65.7,43.3,NA,NA,NA,NA,NA,"1997"
"3878","EFS061","SPEI",1997-06-15,"EFS",5,64,45.4,NA,NA,NA,NA,NA,"1997"
"3879","MMB041","SPEI",1997-06-16,"MMB",1,69.4,45.3,NA,NA,NA,NA,NA,"1997"
"3880","MMB041","SPEI",1997-06-16,"MMB",2,70.5,44.1,NA,NA,NA,NA,NA,"1997"
"3881","MMB041","SPEI",1997-06-16,"MMB",3,72,44.1,NA,NA,NA,NA,NA,"1997"
"3882","MMB041","SPEI",1997-06-16,"MMB",4,68.9,44.5,NA,NA,NA,NA,NA,"1997"
"3883","MMB041","SPEI",1997-06-16,"MMB",5,78.1,55.1,NA,NA,NA,NA,NA,"1997"
"3884","GJH063","COEI",1997-06-16,"GJH",1,74.8,50.7,NA,NA,NA,NA,NA,"1997"
"3885","GJH063","COEI",1997-06-16,"GJH",2,74.6,50,NA,NA,NA,NA,NA,"1997"
"3886","GJH063","COEI",1997-06-16,"GJH",3,71.3,50.6,NA,NA,NA,NA,NA,"1997"
"3887","GJH063","COEI",1997-06-16,"GJH",4,74.4,48.9,NA,NA,NA,NA,NA,"1997"
"3888","GJH063","COEI",1997-06-16,"GJH",5,75.2,50.1,NA,NA,NA,NA,NA,"1997"
"3889","MMB042","SPEI",1997-06-21,"MMB",1,79.4,45.4,NA,NA,NA,NA,NA,"1997"
"3890","MMB042","SPEI",1997-06-21,"MMB",2,65.5,46.1,NA,NA,NA,NA,NA,"1997"
"3891","MMB042","SPEI",1997-06-21,"MMB",3,68.3,45.9,NA,NA,NA,NA,NA,"1997"
"3892","MMB042","SPEI",1997-06-21,"MMB",4,68.1,45.9,NA,NA,NA,NA,NA,"1997"
"3893","EFS066","COEI",1997-06-27,"TLM",1,70.3,47.9,NA,NA,NA,NA,NA,"1997"
"3894","EFS066","COEI",1997-06-27,"TLM",2,67.6,48.8,NA,NA,NA,NA,NA,"1997"
"3895","EFS066","COEI",1997-06-27,"TLM",3,71.1,47.3,NA,NA,NA,NA,NA,"1997"
"3896","EFS066","COEI",1997-06-27,"TLM",4,69,48.1,NA,NA,NA,NA,NA,"1997"
"3897","MMB013","SPEI",1997-05-28,"MMB",1,75.7,48.8,NA,NA,NA,NA,NA,"1997"
"3898","MMB013","SPEI",1997-05-28,"MMB",2,77.4,49,NA,NA,NA,NA,NA,"1997"
"3899","MMB013","SPEI",1997-05-28,"MMB",3,72.2,49.5,NA,NA,NA,NA,NA,"1997"
"3900","MMB013","SPEI",1997-05-28,"MMB",4,78.4,48,NA,NA,NA,NA,NA,"1997"
"3901","DAM001","SPEI",1998-06-24,"TLM",1,73.6,46,NA,NA,NA,NA,NA,"1998"
"3902","DAM001","SPEI",1998-06-24,"TLM",2,72.1,46.2,NA,NA,NA,NA,NA,"1998"
"3903","DAM001","SPEI",1998-06-24,"TLM",3,68.2,44.7,NA,NA,NA,NA,NA,"1998"
"3904","DAM001","SPEI",1998-06-24,"TLM",4,70.7,45.5,NA,NA,NA,NA,NA,"1998"
"3905","GJH001","SPEI",1998-06-18,"TLM",1,67.1,44.5,NA,NA,NA,NA,NA,"1998"
"3906","GJH001","SPEI",1998-06-18,"TLM",2,64.5,47.2,NA,NA,NA,NA,NA,"1998"
"3907","GJH001","SPEI",1998-06-18,"TLM",3,64.5,45.7,NA,NA,NA,NA,NA,"1998"
"3908","GJH001","SPEI",1998-06-18,"TLM",4,64.2,46.6,NA,NA,NA,NA,NA,"1998"
"3909","GJH003","SPEI",1998-06-26,"KLW",1,67.1,47.5,NA,NA,NA,NA,NA,"1998"
"3910","GJH003","SPEI",1998-06-26,"KLW",2,66.5,46.9,NA,NA,NA,NA,NA,"1998"
"3911","GJH003","SPEI",1998-06-26,"KLW",3,66.1,45.6,NA,NA,NA,NA,NA,"1998"
"3912","GJH003","SPEI",1998-06-26,"KLW",4,66.9,45.7,NA,NA,NA,NA,NA,"1998"
"3913","KLW002","SPEI",1998-05-29,"KLW",1,65.9,45.2,NA,NA,NA,NA,NA,"1998"
"3914","KLW002","SPEI",1998-05-29,"KLW",2,65.9,45.2,NA,NA,NA,NA,NA,"1998"
"3915","KLW002","SPEI",1998-05-29,"KLW",3,65.1,44.6,NA,NA,NA,NA,NA,"1998"
"3916","KLW007","SPEI",1998-06-03,"KLW",1,68.5,45,NA,NA,NA,NA,NA,"1998"
"3917","KLW007","SPEI",1998-06-03,"KLW",2,62.3,47.1,NA,NA,NA,NA,NA,"1998"
"3918","KLW007","SPEI",1998-06-03,"KLW",3,67.1,45.6,NA,NA,NA,NA,NA,"1998"
"3919","KLW007","SPEI",1998-06-03,"KLW",4,69.5,46.5,NA,NA,NA,NA,NA,"1998"
"3920","KLW007","SPEI",1998-06-03,"KLW",5,69.5,46.5,NA,NA,NA,NA,NA,"1998"
"3921","KLW007","SPEI",1998-06-03,"KLW",6,67,46.9,NA,NA,NA,NA,NA,"1998"
"3922","KLW010","SPEI",1998-06-04,"KLW",1,74.6,47.6,NA,NA,NA,NA,NA,"1998"
"3923","KLW010","SPEI",1998-06-04,"KLW",2,71.6,47.9,NA,NA,NA,NA,NA,"1998"
"3924","KLW010","SPEI",1998-06-04,"KLW",3,74.7,47,NA,NA,NA,NA,NA,"1998"
"3925","KLW010","SPEI",1998-06-04,"KLW",4,72.7,48,NA,NA,NA,NA,NA,"1998"
"3926","KLW010","SPEI",1998-06-04,"KLW",5,71.7,48.1,NA,NA,NA,NA,NA,"1998"
"3927","KLW010","SPEI",1998-06-04,"KLW",6,72.7,48.3,NA,NA,NA,NA,NA,"1998"
"3928","KLW012","SPEI",1998-06-05,"KLW",1,70.6,45.8,NA,NA,NA,NA,NA,"1998"
"3929","KLW012","SPEI",1998-06-05,"KLW",2,66.6,46.4,NA,NA,NA,NA,NA,"1998"
"3930","KLW012","SPEI",1998-06-05,"KLW",3,69.2,45,NA,NA,NA,NA,NA,"1998"
"3931","KLW013","SPEI",1998-06-05,"KLW",1,65.3,44.2,NA,NA,NA,NA,NA,"1998"
"3932","KLW013","SPEI",1998-06-05,"KLW",2,67.1,44.3,NA,NA,NA,NA,NA,"1998"
"3933","KLW013","SPEI",1998-06-05,"KLW",3,65.2,45.6,NA,NA,NA,NA,NA,"1998"
"3934","KLW013","SPEI",1998-06-14,"KLW",4,68.4,44.7,NA,NA,NA,NA,NA,"1998"
"3935","KLW013","SPEI",1998-06-14,"KLW",5,68,44.5,NA,NA,NA,NA,NA,"1998"
"3936","KLW014","SPEI",1998-06-05,"KLW",1,66,45,NA,NA,NA,NA,NA,"1998"
"3937","KLW014","SPEI",1998-06-05,"KLW",2,65.8,46.5,NA,NA,NA,NA,NA,"1998"
"3938","KLW014","SPEI",1998-06-05,"KLW",3,64.2,44.6,NA,NA,NA,NA,NA,"1998"
"3939","KLW014","SPEI",1998-06-05,"KLW",4,64.4,45.9,NA,NA,NA,NA,NA,"1998"
"3940","KLW014","SPEI",1998-06-05,"KLW",5,65.8,45.5,NA,NA,NA,NA,NA,"1998"
"3941","KLW017","SPEI",1998-06-16,"KLW",1,71.7,44.7,NA,NA,NA,NA,NA,"1998"
"3942","KLW017","SPEI",1998-06-16,"KLW",2,64.6,46.1,NA,NA,NA,NA,NA,"1998"
"3943","KLW017","SPEI",1998-06-16,"KLW",3,65.4,46.2,NA,NA,NA,NA,NA,"1998"
"3944","KLW017","SPEI",1998-06-16,"KLW",4,65.4,45.6,NA,NA,NA,NA,NA,"1998"
"3945","KLW018","SPEI",1998-06-07,"KLW",1,69.4,46,NA,NA,NA,NA,NA,"1998"
"3946","KLW018","SPEI",1998-06-07,"KLW",2,68.8,44.3,NA,NA,NA,NA,NA,"1998"
"3947","KLW018","SPEI",1998-06-17,"TLM",3,72.1,45.5,NA,NA,NA,NA,NA,"1998"
"3948","KLW018","SPEI",1998-06-17,"TLM",4,73.9,44.5,NA,NA,NA,NA,NA,"1998"
"3949","KLW026","SPEI",1998-06-08,"KLW",1,67.8,45.9,"Y",0,0,0,1998-06-25,"1998"
"3950","KLW026","SPEI",1998-06-08,"KLW",2,66.7,46.1,"Y",0,0,0,1998-06-25,"1998"
"3951","KLW026","SPEI",1998-06-08,"KLW",3,67.3,45.5,"Y",0,0,0,1998-06-25,"1998"
"3952","KLW026","SPEI",1998-06-08,"KLW",4,66.1,45.4,"Y",0,0,0,1998-06-25,"1998"
"3953","KLW026","SPEI",1998-06-08,"KLW",5,67.1,45.1,"Y",0,0,0,1998-06-25,"1998"
"3954","KLW028","SPEI",1998-06-08,"KLW",1,67.8,45.1,NA,NA,NA,NA,NA,"1998"
"3955","KLW028","SPEI",1998-06-08,"KLW",2,69.2,44,NA,NA,NA,NA,NA,"1998"
"3956","KLW028","SPEI",1998-06-08,"KLW",3,65.9,44.1,NA,NA,NA,NA,NA,"1998"
"3957","KLW028","SPEI",1998-06-08,"KLW",4,68.1,46.4,NA,NA,NA,NA,NA,"1998"
"3958","KLW028","SPEI",1998-06-18,"TLM",5,66.5,43.8,NA,NA,NA,NA,NA,"1998"
"3959","KLW030","SPEI",1998-06-09,"KLW",1,63.8,45,NA,NA,NA,NA,NA,"1998"
"3960","KLW030","SPEI",1998-06-09,"KLW",2,64.6,46.6,NA,NA,NA,NA,NA,"1998"
"3961","KLW030","SPEI",1998-06-09,"KLW",3,65,46.7,NA,NA,NA,NA,NA,"1998"
"3962","KLW030","SPEI",1998-06-09,"KLW",4,64.1,45.8,NA,NA,NA,NA,NA,"1998"
"3963","KLW030","SPEI",1998-06-09,"KLW",5,64.8,46,NA,NA,NA,NA,NA,"1998"
"3964","KLW030","SPEI",1998-06-09,"KLW",6,64.1,45.4,NA,NA,NA,NA,NA,"1998"
"3965","KLW031","SPEI",1998-06-09,"KLW",1,71.4,46.3,NA,NA,NA,NA,NA,"1998"
"3966","KLW031","SPEI",1998-06-09,"KLW",2,70.5,45.6,NA,NA,NA,NA,NA,"1998"
"3967","KLW031","SPEI",1998-06-09,"KLW",3,70.5,46.6,NA,NA,NA,NA,NA,"1998"
